eNodeb Name,Cell ID,Result,Cell Type,Latitude,Longitude,Carrier,Azimuth
8099,3,No Sector Swap Found,Sector Split,33.76625,72.35325,L1800,260.0
8099,2,No Sector Swap Found,Sector Split,33.76625,72.35325,L1800,135.0
8099,12,No Sector Swap Found,Sector Split,33.76625,72.35325,L1800,165.0
8099,1,No Sector Swap Found,,33.76625,72.35325,L1800,60.0
3129,2,No Sector Swap Found,,33.78309,72.36468,L1800,210.0
3129,13,No Sector Swap Found,Sector Split,33.78309,72.36468,L1800,295.0
3129,3,No Sector Swap Found,Sector Split,33.78309,72.36468,L1800,265.0
3129,203,Sector Swap Found Between 203 and 201,,33.78309,72.36468,L900,265.0
3129,202,No Sector Swap Found,,33.78309,72.36468,L900,210.0
3129,1,Sector Swap Found Between 1 and 11,Sector Split,33.78309,72.36468,L1800,15.0
3129,21,No Sector Swap Found,,33.78309,72.36468,L2100,15.0
3129,11,Sector Swap Found Between 11 and 1,Sector Split,33.78309,72.36468,L1800,45.0
3129,201,Sector Swap Found Between 201 and 203,,33.78309,72.36468,L900,15.0
52060,2,Less Number of MR Points,,33.74953,72.38783,L1800,150.0
52060,202,NO MR Data found for the cell,,33.74953,72.38783,L900,150.0
52060,201,Less Number of MR Points,,33.74953,72.38783,L900,0.0
52060,203,Less Number of MR Points,,33.74953,72.38783,L900,270.0
52060,22,Less Number of MR Points,,33.74953,72.38783,L2100,150.0
51257,202,Less Number of MR Points,,33.769827,72.314375,L900,170.0
51257,201,Less Number of MR Points,,33.769827,72.314375,L900,90.0
51257,3,Less Number of MR Points,Sector Split,33.769827,72.314375,L1800,315.0
51257,2,Less Number of MR Points,,33.769827,72.314375,L1800,170.0
51257,203,Less Number of MR Points,,33.769827,72.314375,L900,315.0
51257,13,Less Number of MR Points,Sector Split,33.769827,72.314375,L1800,345.0
51257,23,Less Number of MR Points,Sector Split,33.769827,72.314375,L2100,315.0
51257,22,Less Number of MR Points,,33.769827,72.314375,L2100,170.0
51257,33,Less Number of MR Points,Sector Split,33.769827,72.314375,L2100,345.0
51013,12,NO MR Data found for the cell,Sector Split,33.75596,72.3744,L1800,145.0
51013,32,NO MR Data found for the cell,Sector Split,33.75596,72.3744,L2100,145.0
50618,33,NO MR Data found for the cell,Sector Split,33.77725,72.32622,L2100,290.0
50618,13,NO MR Data found for the cell,Sector Split,33.77725,72.32622,L1800,290.0
9912,22,Less Number of MR Points,Sector Split,33.75961,72.35986,L2100,135.0
8353,21,NO MR Data found for the cell,Sector Split,33.76992,72.32643,L2100,40.0
